"","sex","degree","income","marital","age","height","weight","wrkstat","wkvsfam","wealth","waypaid","realinc","realrinc","satjob","rincome","partyid","fefam","fechld","absingle"
"292",2,4,NA,1,63,65,160,1,2,NA,1,NA,NA,1,NA,NA,NA,NA,1
"293",2,1,12,5,38,65,150,1,4,1,2,20430,20430,2,12,1,3,2,NA
"294",1,1,12,3,50,72,270,1,2,4,2,24970,20430,3,12,5,3,3,2
"295",2,1,2,5,18,NA,NA,6,NA,NA,NA,908,NA,NA,NA,3,NA,NA,2
"296",2,3,12,1,45,67,135,1,2,9,1,72640,24970,2,12,2,4,1,1
"297",2,0,12,5,18,NA,NA,6,NA,NA,NA,63560,NA,NA,NA,5,4,2,NA
"298",1,4,12,5,39,NA,NA,5,NA,NA,NA,119879.41732,NA,NA,NA,0,3,2,2
"299",2,4,12,5,31,70,290,1,3,8,1,30645,30645,1,12,1,4,2,2
"300",2,3,12,5,44,62,120,1,2,NA,1,37455,37455,1,12,3,NA,NA,2
"301",2,3,12,1,46,62,185,1,2,5,1,63560,30645,1,12,0,3,1,NA
"302",2,1,12,1,56,NA,NA,4,NA,NA,NA,119879.41732,14755,1,12,6,NA,NA,2
"303",1,1,12,1,37,67,180,1,2,7,2,119879.41732,37455,1,12,1,4,2,1
"304",2,4,12,3,52,63,130,1,2,8,1,54480,54480,1,12,2,4,1,NA
"305",1,1,12,1,69,74,223,2,2,9,2,30645,2043,2,4,4,NA,NA,2
"306",1,1,12,4,34,64,165,1,2,NA,6,24970,24970,1,12,3,3,1,2
"307",1,3,NA,5,25,77,190,1,2,NA,1,NA,NA,1,NA,4,NA,NA,2
"308",1,0,NA,5,33,66,190,1,4,1,2,NA,NA,1,NA,3,NA,NA,2
"309",2,1,11,3,45,61,220,1,2,1,2,10782.5,10782.5,2,11,5,2,1,NA
"310",1,3,12,1,57,NA,NA,5,NA,NA,NA,119879.41732,151050.72136,NA,12,4,NA,NA,1
"311",1,1,12,3,77,NA,NA,5,NA,NA,NA,30645,NA,NA,NA,7,2,2,1
"312",1,3,12,5,29,72,240,1,4,8,1,45400,45400,2,12,2,2,3,1
"313",1,4,12,2,58,67,145,1,2,11,1,119879.41732,151050.72136,1,12,0,NA,NA,1
"314",1,4,12,1,42,74,240,1,2,9,1,54480,54480,1,12,2,NA,NA,1
"315",1,1,12,3,65,71,180,1,4,8,2,30645,24970,1,12,1,4,1,1
"316",2,3,12,5,25,68,172,1,2,1,2,14755,14755,4,12,4,NA,NA,2
"317",1,4,12,1,76,NA,NA,5,NA,NA,NA,45400,NA,NA,NA,4,1,2,2
"318",2,1,12,2,73,NA,NA,7,NA,NA,NA,24970,NA,2,NA,1,2,2,NA
"319",2,4,12,1,34,59,NA,1,2,7,1,63560,37455,2,12,5,2,2,NA
"320",1,1,12,1,51,65,202,1,1,8,1,30645,30645,1,12,0,3,1,1
"321",2,1,11,1,78,NA,NA,7,NA,NA,NA,10782.5,NA,2,NA,6,NA,NA,2
"322",1,1,12,1,53,66,180,2,4,NA,2,24970,4086,2,8,2,3,2,2
"323",1,0,12,1,83,NA,NA,5,NA,NA,NA,12485,NA,NA,NA,1,3,1,2
"324",2,0,9,5,58,NA,NA,8,NA,NA,NA,6242.5,NA,NA,NA,1,NA,NA,1
"325",1,0,NA,2,73,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,6,2,2,NA
"326",2,1,2,2,83,NA,NA,5,NA,NA,NA,908,NA,NA,NA,5,2,1,NA
"327",1,1,11,4,86,NA,NA,5,NA,NA,NA,10782.5,NA,NA,NA,2,NA,3,2
"328",2,1,11,2,70,NA,NA,8,NA,NA,NA,10782.5,NA,NA,NA,0,NA,NA,2
"329",2,3,12,5,31,NA,NA,7,NA,NA,NA,37455,NA,2,NA,1,4,1,NA
"330",2,3,12,5,24,NA,NA,6,NA,NA,NA,30645,2043,NA,4,1,NA,NA,1
"331",1,2,12,5,42,71,245,1,3,8,2,17025,8512.5,1,10,0,3,2,NA
"332",2,4,12,1,34,67,138,1,2,8,1,119879.41732,54480,1,12,1,NA,NA,1
"333",2,4,NA,3,70,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,3,2,4,NA
"334",2,1,12,5,37,NA,NA,7,NA,NA,NA,24970,17025,2,12,4,3,1,NA
"335",1,4,12,1,70,NA,NA,5,NA,NA,NA,72640,30645,NA,12,6,1,3,2
"336",1,1,12,1,71,NA,NA,5,NA,NA,NA,37455,NA,NA,NA,5,3,2,2
"337",2,4,12,5,26,65,145,1,1,8,1,20430,17025,3,12,5,4,2,NA
"338",1,4,12,1,54,69,200,1,1,9,1,119879.41732,151050.72136,1,12,0,NA,NA,1
"339",2,3,12,1,40,68,150,1,2,11,1,119879.41732,63560,1,12,2,NA,NA,1
"340",2,3,12,3,56,65,140,1,2,10,4,119879.41732,151050.72136,2,12,4,3,3,NA
"341",1,4,12,2,60,70,180,1,3,5,1,63560,63560,1,12,5,NA,NA,2
"342",1,3,12,1,72,NA,NA,1,NA,9,NA,119879.41732,1589,NA,3,7,4,1,1
"343",2,3,12,1,35,65,130,1,3,9,1,119879.41732,63560,2,12,3,NA,NA,2
"344",1,4,12,1,55,66,160,1,3,10,1,119879.41732,151050.72136,2,12,6,2,3,NA
"345",2,2,12,1,28,NA,NA,6,NA,NA,NA,37455,12485,NA,12,0,1,3,2
"346",2,1,8,3,77,NA,NA,8,NA,NA,NA,4086,NA,NA,NA,0,NA,NA,1
"347",2,1,NA,5,30,61,145,1,4,2,2,NA,17025,2,12,0,3,2,NA
"348",2,1,10,2,67,NA,NA,5,NA,NA,NA,7377.5,NA,NA,NA,2,1,2,2
"349",2,1,10,5,53,NA,NA,6,NA,NA,NA,7377.5,NA,NA,NA,1,3,3,1
"350",2,1,12,1,37,NA,NA,4,NA,NA,NA,20430,227,3,1,1,NA,NA,2
"351",2,4,12,1,51,62,210,1,2,9,1,119879.41732,151050.72136,1,12,2,3,1,NA
"352",2,1,11,1,35,NA,NA,8,NA,NA,NA,10782.5,5107.5,NA,9,3,2,3,1
"353",2,4,12,1,60,NA,NA,5,NA,NA,NA,119879.41732,NA,NA,NA,4,NA,NA,1
"354",1,4,12,1,68,NA,NA,5,NA,NA,NA,54480,54480,NA,12,1,3,1,1
"355",1,4,12,1,43,71,195,1,2,10,1,119879.41732,54480,2,12,0,4,2,1
"356",2,1,12,1,36,NA,NA,7,NA,NA,NA,30645,NA,1,NA,0,NA,NA,2
"357",2,0,9,5,34,62,205,1,4,1,2,6242.5,4086,3,8,0,NA,NA,1
"358",1,4,12,1,39,72,170,1,2,2,1,63560,45400,1,12,3,3,2,NA
"359",1,2,12,5,52,73,225,1,2,9,5,37455,37455,2,12,6,4,4,1
"360",1,1,12,4,70,68,141,1,1,5,4,45400,24970,2,12,4,NA,NA,2
"361",1,1,NA,1,60,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,6,2,2,NA
"362",2,1,12,1,61,NA,NA,7,NA,NA,NA,37455,NA,1,NA,7,4,1,1
"363",2,1,12,1,32,67,180,2,1,5,1,24970,NA,3,NA,5,3,2,NA
"364",2,3,12,4,40,60,165,1,1,1,1,20430,14755,2,12,5,3,1,1
"365",1,2,12,3,44,68,175,1,3,8,2,119879.41732,37455,2,12,6,NA,NA,2
"366",2,0,NA,3,67,NA,NA,7,NA,NA,NA,NA,NA,2,NA,0,NA,NA,2
"367",2,4,12,5,70,68,130,1,4,11,1,63560,63560,1,12,0,4,1,1
"368",2,3,12,5,27,69,145,1,3,NA,1,37455,37455,2,12,2,NA,NA,1
"369",2,4,12,1,30,64,110,1,1,9,1,119879.41732,45400,1,12,2,3,2,NA
"370",1,1,12,1,61,NA,NA,1,NA,9,NA,119879.41732,151050.72136,1,12,4,3,2,1
"371",1,3,12,5,30,72,200,1,2,8,1,119879.41732,151050.72136,2,12,5,3,1,2
"372",1,3,12,1,38,71,230,1,2,6,2,119879.41732,45400,1,12,0,NA,NA,1
"373",2,3,12,5,27,64,115,1,1,4,1,119879.41732,37455,2,12,0,4,1,2
"374",2,2,NA,1,67,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,1,3,2,NA
"375",1,3,12,4,45,69,150,1,2,8,1,54480,14755,2,12,5,4,2,1
"376",2,2,12,1,68,NA,NA,5,NA,NA,NA,45400,24970,NA,12,2,NA,NA,2
"377",2,1,12,5,18,64,190,1,4,1,2,24970,2497,2,5,2,4,1,NA
"378",2,1,12,2,77,NA,NA,5,NA,NA,NA,119879.41732,NA,NA,NA,3,NA,1,2
"379",2,3,12,2,78,NA,NA,7,NA,NA,NA,54480,NA,2,NA,4,3,2,1
"380",2,3,12,1,61,NA,NA,2,NA,9,NA,63560,NA,NA,NA,0,4,1,NA
"381",1,1,12,1,72,68,207,2,3,8,10,45400,227,1,1,3,3,2,NA
"382",2,1,NA,2,89,NA,NA,7,NA,NA,NA,NA,NA,1,NA,5,NA,NA,NA
"383",2,3,12,2,75,NA,NA,5,NA,NA,NA,45400,NA,NA,NA,2,4,1,1
"384",1,3,12,1,48,69,145,2,2,9,2,37455,17025,1,12,1,NA,NA,2
"385",2,4,12,1,48,67,125,1,3,10,1,119879.41732,45400,2,12,0,4,1,1
"386",2,3,12,5,41,63,168,1,4,1,1,30645,24970,1,12,0,1,1,1
"387",2,3,12,5,30,64,127,1,3,5,1,30645,30645,3,12,3,4,2,NA
"388",2,4,12,5,29,64,135,1,1,3,1,17025,17025,3,12,7,4,1,1
"389",1,2,NA,1,38,70,150,1,2,1,2,NA,NA,1,NA,0,NA,NA,1
"390",2,1,NA,2,76,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,3,2,3,NA
"391",2,1,12,3,55,62,140,1,1,1,2,17025,NA,2,NA,3,NA,NA,1
"392",1,4,9,5,28,72,180,1,3,2,1,6242.5,NA,1,NA,0,4,1,NA
"393",2,0,NA,5,18,NA,NA,7,NA,NA,NA,NA,NA,3,NA,1,4,1,2
"394",2,4,7,5,24,NA,NA,3,3,2,1,3405,NA,1,NA,2,NA,NA,1
"395",1,0,12,1,34,70,150,1,3,6,1,72640,37455,2,12,1,4,2,1
"396",2,1,12,1,77,64,128,2,3,NA,4,119879.41732,NA,1,NA,6,NA,NA,2
"397",1,1,12,5,89,NA,NA,5,NA,NA,NA,12485,NA,NA,NA,4,2,3,NA
"398",1,4,12,1,69,72,210,2,2,10,2,54480,54480,1,12,0,4,2,NA
"399",1,1,12,3,70,NA,NA,5,NA,NA,NA,24970,12485,NA,12,2,4,NA,1
"400",2,3,12,1,71,NA,NA,5,NA,NA,NA,72640,NA,NA,NA,3,3,1,NA
"401",1,3,12,5,34,69,188,1,3,7,10,12485,12485,3,12,3,3,3,NA
"402",2,1,NA,5,77,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,3,2,2,NA
"403",2,1,NA,5,20,62,160,1,4,1,2,NA,908,1,2,3,NA,NA,2
"404",2,0,4,1,38,58,140,2,4,1,2,2043,NA,2,NA,5,1,1,NA
"405",2,1,12,5,29,NA,NA,7,NA,NA,NA,20430,NA,2,NA,4,2,3,2
"406",1,1,12,1,69,NA,NA,5,NA,NA,NA,20430,NA,NA,NA,4,2,3,NA
"407",2,1,10,5,36,NA,NA,4,NA,NA,NA,7377.5,NA,1,NA,2,3,1,2
"408",2,1,NA,1,43,61,98,3,2,NA,2,NA,NA,2,NA,NA,3,1,NA
"409",2,1,8,3,64,NA,NA,8,NA,NA,NA,4086,NA,NA,NA,3,3,1,NA
"410",1,1,12,1,53,72,269,1,3,8,2,37455,20430,1,12,4,4,3,2
"411",2,1,NA,1,69,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,3,3,3,NA
"412",2,1,11,3,39,67,190,3,NA,2,2,9647.5,NA,4,NA,1,2,3,2
"413",1,1,NA,1,57,66,190,1,4,NA,1,NA,NA,1,NA,3,2,2,2
"414",2,2,12,1,63,66,190,1,4,10,2,63560,45400,1,12,6,3,1,NA
"415",2,0,NA,5,75,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,3,2,2,NA
"416",1,3,12,1,32,75,280,1,3,8,1,119879.41732,151050.72136,1,12,2,4,1,1
"417",1,1,12,4,46,72,190,1,2,6,2,37455,24970,2,12,3,NA,NA,2
"418",1,1,12,3,41,NA,NA,4,NA,NA,NA,20430,20430,1,12,3,NA,NA,2
"419",2,2,12,1,NA,66,125,1,1,4,1,24970,24970,1,12,0,3,1,NA
"420",2,3,12,3,49,69,175,3,2,5,2,24970,24970,3,12,2,2,1,1
"421",1,2,11,1,65,NA,NA,5,NA,NA,NA,10782.5,NA,NA,NA,6,3,3,NA
"422",2,2,12,1,59,63,145,1,2,8,1,63560,37455,1,12,1,NA,NA,1
"423",1,1,12,3,47,66,200,1,2,4,2,30645,30645,2,12,4,3,2,NA
"424",2,1,NA,5,27,60,120,1,2,NA,2,NA,NA,2,NA,1,NA,NA,2
"425",2,1,12,1,57,63,129,1,2,7,2,20430,9647.5,1,11,3,3,2,NA
"426",2,4,12,1,74,60,135,2,4,9,2,63560,2951,1,6,4,NA,NA,2
"427",2,4,1,1,51,64,110,2,3,11,10,1589,1589,1,3,5,NA,1,NA
"428",1,4,12,1,44,68,155,1,1,13,1,119879.41732,151050.72136,2,12,1,4,1,1
"429",2,3,12,3,46,64,115,1,2,4,1,119879.41732,30645,2,12,0,4,1,NA
"430",2,1,12,1,42,65,265,1,3,8,1,54480,20430,1,12,1,3,3,2
"431",2,3,12,3,65,67,180,1,3,10,1,72640,63560,1,12,0,NA,NA,2
"432",1,3,12,1,36,77,230,1,2,12,1,119879.41732,151050.72136,1,12,5,NA,NA,1
"433",2,4,12,2,80,NA,NA,5,NA,NA,NA,54480,NA,NA,NA,0,3,2,NA
"434",2,3,12,1,32,62,105,1,3,1,2,17025,7377.5,2,10,3,4,1,NA
"435",1,0,NA,2,89,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,0,2,2,1
"436",2,3,NA,1,40,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,7,3,2,2
"437",2,0,12,2,88,NA,NA,5,NA,NA,NA,54480,NA,NA,NA,0,3,2,1
"438",2,3,12,1,59,NA,NA,7,NA,NA,NA,119879.41732,4086,1,8,6,NA,NA,1
"439",2,4,12,1,55,66,190,1,1,14,1,119879.41732,151050.72136,1,12,4,4,1,NA
"440",2,1,12,5,31,64,215,1,3,9,2,17025,17025,1,12,4,NA,NA,1
"441",1,4,11,1,31,65,145,1,1,2,6,10782.5,10782.5,2,11,2,NA,NA,2
"442",2,3,12,1,35,66,130,1,1,4,1,37455,24970,1,12,0,NA,NA,1
"443",2,3,NA,5,32,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,7,4,3,NA
"444",2,1,12,1,48,NA,NA,7,NA,NA,NA,24970,NA,1,NA,0,2,1,1
"445",2,1,12,1,24,NA,NA,4,NA,NA,NA,45400,NA,2,NA,3,NA,NA,2
"446",1,1,12,5,22,70,250,1,3,5,2,54480,24970,1,12,4,2,2,NA
"447",2,1,12,5,37,59,120,1,2,2,2,14755,14755,3,12,1,NA,NA,2
"448",2,3,12,5,34,64,125,1,3,8,2,72640,72640,2,12,2,4,2,1
"449",2,1,NA,2,89,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1
"450",2,0,NA,5,55,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,1,3,1,NA
"451",1,1,12,5,46,66,170,1,3,4,2,45400,24970,2,12,0,3,2,1
"452",2,3,12,1,29,NA,NA,4,NA,NA,NA,24970,14755,1,12,1,NA,NA,1
"453",2,0,12,2,83,NA,NA,5,NA,NA,NA,30645,NA,NA,NA,3,3,2,NA
"454",2,3,12,5,33,66,130,1,1,9,1,119879.41732,24970,1,12,0,NA,NA,1
"455",2,4,12,3,46,63,139,1,4,8,1,54480,45400,1,12,0,4,1,1
"456",1,1,12,5,19,NA,NA,6,NA,NA,NA,30645,NA,NA,NA,1,3,2,1
"457",1,3,12,4,65,NA,NA,5,NA,NA,NA,24970,NA,NA,NA,2,NA,NA,NA
"458",2,1,12,1,37,NA,NA,6,NA,NA,NA,119879.41732,NA,NA,NA,5,NA,NA,2
"459",2,1,12,1,64,NA,NA,5,NA,NA,NA,37455,NA,NA,NA,7,2,3,2
"460",2,2,12,1,22,67,142,1,4,3,2,12485,NA,2,NA,1,3,2,NA
"461",1,3,12,1,28,72,175,1,3,4,1,54480,37455,1,12,0,NA,NA,1
"462",2,3,12,5,24,65,130,1,2,3,2,14755,4086,2,8,4,NA,NA,1
"463",1,2,12,1,43,68,201,1,2,9,2,72640,37455,1,12,3,NA,NA,NA
"464",1,3,12,5,32,69,215,1,2,6,2,30645,17025,2,12,2,3,3,NA
"465",2,3,12,1,76,NA,NA,5,NA,NA,NA,119879.41732,NA,NA,NA,2,4,1,1
"466",2,1,12,5,21,65,140,2,4,2,2,54480,3405,2,7,3,NA,NA,2
"467",2,2,12,1,48,63,165,1,3,4,1,72640,30645,2,12,1,4,1,NA
"468",1,1,NA,1,76,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,5,4,1,NA
"469",2,3,12,1,55,66,153,1,3,10,1,119879.41732,37455,2,12,4,4,2,1
"470",2,1,12,3,70,67,195,1,3,8,2,14755,14755,2,12,7,3,2,NA
"471",2,4,12,3,66,NA,NA,5,NA,NA,NA,17025,NA,NA,NA,0,4,2,1
"472",2,4,12,3,37,59,123,1,3,3,2,30645,14755,1,12,1,NA,NA,2
"473",2,4,12,1,70,NA,NA,5,NA,NA,NA,54480,NA,NA,NA,0,3,2,1
"474",1,4,12,1,43,65,195,1,2,7,1,63560,54480,1,12,1,NA,NA,1
"475",2,0,8,5,19,NA,NA,6,NA,NA,NA,4086,NA,NA,NA,3,NA,NA,1
"476",1,1,12,1,70,NA,NA,5,NA,NA,NA,54480,NA,NA,NA,0,1,2,NA
"477",2,4,12,1,40,70,300,1,2,6,2,45400,37455,1,12,2,NA,NA,1
"478",1,3,12,1,59,68,178,1,2,5,5,20430,1589,1,3,1,3,2,NA
"479",2,1,12,1,70,NA,NA,5,NA,NA,NA,54480,NA,NA,NA,6,4,1,2
"480",1,1,12,5,31,76,230,2,2,2,2,45400,10782.5,2,11,2,NA,NA,1
"481",2,4,12,5,51,58,143,1,3,8,2,37455,37455,2,12,5,4,1,NA
"482",2,1,12,1,32,63,118,2,2,3,2,24970,8512.5,1,10,2,4,1,NA
"483",2,1,NA,1,60,NA,NA,4,NA,NA,NA,NA,NA,3,NA,NA,4,2,NA
"484",1,1,12,5,27,71,195,1,2,NA,2,45400,8512.5,2,10,4,NA,NA,1
"485",1,3,12,2,89,NA,NA,5,NA,NA,NA,63560,NA,NA,NA,4,2,4,2
"486",2,1,11,3,50,NA,NA,7,NA,NA,NA,10782.5,NA,1,NA,0,NA,NA,1
"487",2,3,12,5,44,64,154,2,1,7,2,30645,14755,2,12,0,3,1,1
"488",2,1,12,2,85,NA,NA,5,NA,NA,NA,14755,NA,NA,NA,2,3,2,NA
"489",1,0,12,1,33,68,140,1,2,5,2,24970,14755,1,12,2,2,2,NA
"490",2,1,NA,5,31,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,1
"491",2,3,12,1,46,64,118,1,2,8,1,119879.41732,72640,1,12,5,4,1,NA
"492",1,4,12,1,72,71,167,1,1,15,11,119879.41732,151050.72136,1,12,0,NA,NA,1
"493",2,4,12,3,50,70,140,2,2,14,10,119879.41732,37455,2,12,0,NA,NA,1
"494",1,4,12,1,66,NA,NA,5,NA,NA,NA,119879.41732,NA,NA,NA,6,NA,NA,1
"495",2,3,12,5,35,NA,135,1,3,8,2,20430,20430,1,12,6,NA,NA,2
"496",2,0,10,5,35,64,225,1,3,2,2,7377.5,NA,1,NA,0,3,1,2
"497",2,1,12,5,33,66,130,1,4,6,2,20430,NA,1,NA,4,NA,NA,2
"498",2,0,3,4,66,NA,NA,5,NA,NA,NA,1589,NA,NA,NA,3,NA,NA,2
"499",1,0,11,1,53,66,180,1,4,2,6,14755,14755,1,12,3,2,2,NA
"500",2,3,12,1,37,NA,NA,7,NA,NA,NA,37455,NA,2,NA,NA,1,3,NA
"501",1,1,12,1,33,71,210,1,3,5,2,37455,37455,2,12,2,3,1,NA
"502",1,3,12,1,28,70,180,1,4,NA,1,45400,NA,1,NA,2,3,1,2
"503",2,3,12,1,30,68,300,3,3,7,1,45400,NA,2,NA,5,NA,NA,2
"504",1,1,12,1,37,70,173,1,3,8,2,45400,NA,2,NA,4,NA,NA,1
"505",1,1,12,1,38,69,150,1,4,8,1,72640,37455,1,12,1,4,1,NA
"506",1,1,12,1,84,NA,NA,5,NA,NA,NA,20430,NA,NA,NA,6,NA,NA,1
"507",1,4,12,1,66,72,190,1,4,9,2,63560,30645,1,12,3,3,2,NA
"508",2,3,12,1,29,63,NA,1,2,2,1,45400,24970,1,12,1,3,1,2
"509",1,4,12,1,39,76,185,1,3,7,1,119879.41732,54480,2,12,2,NA,NA,1
"510",2,3,12,1,33,70,190,1,2,9,1,72640,45400,3,12,2,4,1,NA
"511",2,4,12,2,68,64,132,2,3,9,10,30645,20430,1,12,2,NA,NA,2
"512",2,3,NA,1,70,64,138,2,3,NA,4,NA,NA,1,NA,3,4,1,1
"513",1,3,12,1,50,NA,NA,4,NA,NA,NA,12485,NA,1,NA,3,2,3,1
"514",1,3,12,1,54,70,205,1,3,13,1,72640,72640,2,12,3,3,1,1
"515",1,3,12,1,45,NA,NA,7,NA,NA,NA,119879.41732,NA,2,NA,5,4,1,1
"516",2,1,12,1,48,67,NA,1,1,NA,4,119879.41732,NA,2,NA,5,NA,NA,2
"517",1,3,12,1,73,NA,NA,5,NA,NA,NA,54480,NA,NA,NA,5,NA,NA,1
"518",2,3,12,1,77,NA,NA,5,NA,NA,NA,14755,NA,NA,NA,1,3,2,NA
"519",2,3,12,2,59,63,160,1,3,9,1,54480,54480,1,12,1,NA,NA,1
"520",1,1,12,1,72,NA,NA,5,NA,NA,NA,24970,12485,NA,12,6,3,3,NA
"521",1,3,12,1,68,NA,NA,5,NA,NA,NA,37455,NA,NA,NA,5,NA,NA,2
"522",2,1,12,1,60,62,134,1,3,8,2,30645,7377.5,1,10,6,3,2,NA
"523",1,1,12,1,63,72,232,1,2,8,6,54480,24970,1,12,7,3,2,NA
"524",1,1,10,5,45,68,185,2,4,1,2,7377.5,6242.5,3,9,NA,3,1,2
"525",2,1,12,1,35,66,129,2,2,11,4,119879.41732,151050.72136,1,12,5,NA,NA,2
"526",2,1,11,5,22,NA,NA,4,NA,NA,NA,9647.5,227,2,1,3,2,1,NA
"527",2,1,NA,1,36,68,180,1,3,NA,2,NA,NA,1,NA,3,2,1,2
"528",2,1,8,2,76,63,160,2,3,1,10,4086,227,2,1,5,4,1,NA
"529",2,1,12,1,61,NA,NA,7,NA,NA,NA,30645,NA,3,NA,5,2,2,2
"530",2,1,12,3,56,68,194,1,2,8,2,24970,24970,2,12,2,NA,NA,1
"531",2,1,3,5,26,61,152,1,3,3,2,1589,908,2,2,0,2,2,2
"532",1,1,9,3,59,NA,NA,7,NA,NA,NA,6242.5,NA,NA,NA,0,4,2,NA
"533",1,1,12,5,55,65,140,1,4,9,2,20430,20430,2,12,2,2,3,NA
"534",1,4,12,1,57,71,184,1,3,9,1,54480,45400,1,12,6,NA,NA,2
"535",2,1,12,1,59,NA,NA,5,NA,NA,NA,119879.41732,NA,NA,NA,6,4,1,1
"536",2,1,11,1,33,67,158,2,4,1,2,10782.5,4086,1,8,7,NA,NA,2
"537",2,0,1,2,75,NA,NA,7,NA,NA,NA,227,NA,1,NA,3,1,1,NA
"538",1,3,12,1,61,70,206,1,2,9,1,119879.41732,37455,2,12,5,4,2,1
"539",2,1,12,1,39,63,155,1,2,4,1,24970,14755,2,12,4,NA,NA,2
"540",2,1,12,1,38,64,174,1,2,6,2,30645,14755,2,12,4,2,2,2
"541",2,4,12,3,49,64,175,1,1,7,1,45400,45400,1,12,2,NA,NA,1
"542",1,3,12,1,71,NA,NA,5,NA,NA,NA,119879.41732,NA,NA,NA,4,3,3,NA
"543",1,3,12,5,47,73,200,1,4,7,2,45400,45400,1,12,0,3,2,NA
"544",1,1,12,1,52,68,180,1,3,9,2,119879.41732,37455,1,12,2,NA,NA,2
"545",2,2,12,3,35,60,140,2,2,7,2,54480,30645,1,12,3,3,1,NA
"546",2,1,12,1,54,NA,NA,7,NA,NA,NA,20430,NA,2,NA,6,NA,NA,2
"547",2,1,11,1,39,NA,NA,8,NA,NA,NA,9647.5,NA,NA,NA,5,2,3,2
"548",1,0,10,5,70,NA,NA,5,NA,NA,NA,7377.5,NA,NA,NA,1,4,4,1
"549",2,0,1,2,78,NA,NA,7,NA,NA,NA,227,NA,1,NA,0,1,3,2
"550",2,4,12,3,74,NA,NA,5,NA,NA,NA,45400,NA,NA,NA,2,4,1,1
"551",1,3,12,1,65,75,225,2,2,8,1,30645,9647.5,1,11,3,3,2,2
"552",1,1,12,3,61,67,180,1,2,11,1,119879.41732,151050.72136,1,12,1,3,1,NA
"553",2,3,12,1,53,66,140,1,1,10,1,72640,45400,1,12,5,4,1,1
"554",2,1,12,5,21,62,130,2,4,1,2,37455,2951,1,6,1,NA,NA,2
"555",2,3,12,1,41,65,NA,1,2,5,2,30645,NA,1,NA,7,3,1,NA
"556",2,2,12,1,62,66,130,2,4,7,2,30645,5107.5,1,9,6,3,2,2
"557",1,3,12,1,71,NA,NA,5,NA,NA,NA,119879.41732,NA,NA,NA,5,2,4,NA
"558",1,3,11,2,89,NA,NA,5,NA,NA,NA,10782.5,NA,NA,NA,1,NA,NA,2
"559",1,3,12,1,66,74,210,1,2,10,2,63560,24970,1,12,1,4,3,NA
"560",1,4,12,5,28,73,150,1,3,4,2,72640,24970,2,12,0,NA,NA,1
"561",2,4,12,2,85,NA,NA,5,NA,NA,NA,30645,NA,NA,NA,0,3,2,NA
"562",1,1,12,1,70,68,213,2,3,10,2,54480,1589,1,3,0,4,1,NA
"563",2,3,12,5,29,62,120,1,2,NA,2,30645,30645,1,12,7,3,3,NA
"564",1,3,12,1,39,68,186,1,3,4,1,37455,37455,1,12,NA,3,1,1
"565",1,1,12,5,28,73,220,1,3,2,2,30645,9647.5,2,11,1,NA,NA,1
"566",2,3,12,2,74,NA,NA,7,NA,NA,NA,24970,NA,2,NA,0,NA,NA,1
"567",2,3,12,1,53,68,142,1,3,8,9,72640,17025,2,12,1,4,1,NA
"568",1,4,12,3,66,NA,NA,5,NA,NA,NA,30645,NA,NA,NA,0,3,2,1
"569",1,3,12,1,67,73,235,1,3,11,1,119879.41732,72640,2,12,2,3,1,NA
"570",2,3,NA,1,NA,NA,NA,1,3,NA,1,NA,NA,1,NA,3,3,2,NA
"571",2,4,12,5,28,59,100,1,2,2,1,14755,NA,2,NA,0,4,1,NA
"572",2,3,12,5,23,61,98,1,2,3,1,14755,14755,2,12,5,NA,NA,1
"573",1,4,12,1,37,75,210,1,1,5,1,54480,37455,1,12,0,4,NA,NA
"574",1,1,12,5,27,74,170,1,2,2,10,30645,30645,3,12,1,NA,NA,1
"575",2,2,9,5,32,NA,NA,7,NA,NA,NA,5107.5,908,2,2,1,NA,NA,1
"576",2,1,10,3,40,68,150,2,2,4,2,7377.5,1589,4,3,1,1,1,2
"577",2,3,12,5,22,NA,NA,6,NA,NA,NA,30645,NA,NA,NA,1,NA,NA,1
"578",1,1,10,4,38,73,265,1,2,3,2,8512.5,8512.5,2,10,0,NA,NA,2
"579",2,1,12,5,45,62,202,3,2,1,2,14755,14755,1,12,0,3,1,NA
"580",1,1,10,3,63,NA,NA,5,NA,NA,NA,7377.5,NA,NA,NA,4,3,2,1
"581",2,4,12,5,30,68,250,1,3,4,1,24970,24970,4,12,1,4,1,NA
"582",1,1,9,5,25,69,215,2,4,2,2,5107.5,NA,3,NA,3,4,1,1
